patron,categoria,nivel_alerta,sugerencia
iniciare demanda judicial,Riesgo legal,Crítico,Notificar departamento legal
procedere con acciones legales,Riesgo legal,Crítico,Activar protocolo juridico
presentare denuncia formal,Riesgo legal,Crítico,Coordinar asesoria legal
esto constituye fraude,Riesgo legal,Crítico,Escalar a auditoria interna
incumplimiento contractual evidente,Riesgo legal,Crítico,Revisar contrato firmado
danos y perjuicios reclamados,Riesgo legal,Crítico,Derivar a departamento legal
exigire indemnizacion legal,Riesgo legal,Crítico,Activar defensa juridica
acudire a defensa del consumidor,Riesgo legal,Crítico,Coordinar respuesta legal
esto viola mis derechos legales,Riesgo legal,Crítico,Revisar marco normativo
negligencia comprobable,Riesgo legal,Crítico,Escalar caso juridico
responsabilidad civil evidente,Riesgo legal,Crítico,Evaluar impacto legal
demanda formal en proceso,Riesgo legal,Crítico,Preparar documentacion legal
denuncia ante autoridades,Riesgo legal,Crítico,Escalar juridicamente
fraude sistematico,Riesgo legal,Crítico,Iniciar auditoria urgente
acciones judiciales inmediatas,Riesgo legal,Crítico,Coordinar defensa legal
reclamacion legal formal,Riesgo legal,Crítico,Notificar asesoria juridica
incumplimiento grave de contrato,Riesgo legal,Crítico,Revisar clausulas contractuales
acusacion de estafa,Riesgo legal,Crítico,Activar protocolo legal inmediato
proceso legal en curso,Riesgo legal,Crítico,Escalar a direccion juridica
evaluare demanda colectiva,Riesgo legal,Crítico,Preparar estrategia legal
esto infringe la normativa vigente,Riesgo legal,Crítico,Revisar cumplimiento regulatorio
se vulneraron mis derechos como consumidor,Riesgo legal,Crítico,Coordinar respuesta legal
habra consecuencias legales por esto,Riesgo legal,Crítico,Activar defensa juridica
interpondre una denuncia formal,Riesgo legal,Crítico,Notificar area juridica
hay responsabilidad legal en este caso,Riesgo legal,Crítico,Escalar a direccion juridica
considero que existe fraude en esta operacion,Riesgo legal,Crítico,Iniciar auditoria interna
esto es una violacion contractual,Riesgo legal,Crítico,Revisar clausulas firmadas
tomare medidas judiciales inmediatas,Riesgo legal,Crítico,Activar protocolo juridico
esto constituye un incumplimiento legal,Riesgo legal,Crítico,Escalar a departamento legal
acusare fraude,Riesgo legal,Crítico,Activar protocolo de auditoria
acudire a instancias legales,Riesgo legal,Crítico,Notificar al area juridica
esto es negligencia,Riesgo legal,Crítico,Escalar a departamento legal
responsabilidad legal evidente,Riesgo legal,Crítico,Revisar implicaciones contractuales
citacion legal pendiente,Riesgo legal,Crítico,Preparar defensa legal
aviso de litigio,Riesgo legal,Crítico,Notificar a socios
querella criminal en preparacion,Riesgo legal,Crítico,Derivar a penal
violacion de terminos y condiciones,Riesgo legal,Crítico,Revisar politicas
rescision de contrato por incumplimiento,Riesgo legal,Crítico,Liquidar contrato
peritaje legal solicitado,Riesgo legal,Crítico,Contratar experto
malversacion de fondos detectada,Riesgo legal,Crítico,Denuncia penal
publicidad engañosa demostrable,Riesgo legal,Crítico,Revisar marketing
acoso comercial sistematico,Riesgo legal,Crítico,Cesar comunicaciones
infraccion de la ley de proteccion de datos,Riesgo legal,Crítico,Reportar a autoridad
coaccion detectada,Riesgo legal,Crítico,Investigacion interna
contrato nulo de pleno derecho,Riesgo legal,Crítico,Anular servicios
reclamacion previa a la via judicial,Riesgo legal,Crítico,Intentar conciliacion
arbitraje de consumo solicitado,Riesgo legal,Crítico,Preparar alegatos
vulneracion de clausulas abusivas,Riesgo legal,Crítico,Modificar contratos
estafa agravada,Riesgo legal,Crítico,Accion legal urgente
delito contra el patrimonio,Riesgo legal,Crítico,Notificar policia
servicio totalmente inaceptable,Reclamo crítico,Alto,Escalar a gerencia inmediata
esto es inadmisible,Reclamo crítico,Alto,Asignar supervisor senior
exijo solucion inmediata,Reclamo crítico,Alto,Priorizar resolucion urgente
no tolerare este trato,Reclamo crítico,Alto,Escalar a coordinacion
estoy extremadamente molesto,Reclamo crítico,Alto,Contactar cliente urgente
quiero respuesta inmediata,Reclamo crítico,Alto,Responder en menos de 24 horas
esto es una verguenza absoluta,Reclamo crítico,Alto,Escalar a direccion
cancelare mi contrato hoy,Reclamo crítico,Alto,Activar protocolo de retencion
procedere a cancelar el servicio,Reclamo crítico,Alto,Ofrecer beneficios urgentes
ultima advertencia antes de cancelar,Reclamo crítico,Alto,Contactar cliente prioritario
hare publico mi descontento,Reclamo crítico,Alto,Gestionar riesgo reputacional
difundire esta mala experiencia,Reclamo crítico,Alto,Contactar antes de impacto
exijo compensacion inmediata,Reclamo crítico,Alto,Evaluar compensacion urgente
esto es abuso al consumidor,Reclamo crítico,Alto,Escalar a area legal preventiva
trato indignante,Reclamo crítico,Alto,Revisar conducta del personal
necesito solucion ahora mismo,Reclamo crítico,Alto,Asignar agente dedicado
no aceptare excusas,Reclamo crítico,Alto,Escalar a gerencia operativa
situacion insostenible,Reclamo crítico,Alto,Revisar caso prioritario
me siento completamente estafado,Reclamo crítico,Alto,Escalar investigacion interna
experiencia desastrosa,Reclamo crítico,Alto,Implementar mejora inmediata
servicio deplorable constante,Reclamo crítico,Alto,Auditoria operativa urgente
esto es el colmo,Reclamo crítico,Alto,Asignar supervisor responsable
necesito solucion definitiva,Reclamo crítico,Alto,Seguimiento diario del caso
